"","NAME","Pop2015","Pop2016.x","ATF.Region","LicCount","LicCountMonthly","perCapFFLyear","perCapitaFFL","Category","PerCapCategory"
"215","Iowa",3121997,3134693,5,15442,1286.83333333333,492.616023323496,41.051335276958,"10000 to 14999",2037.46829353135
"216","Kansas",2906721,2907289,5,13432,1119.33333333333,462.011172607883,38.5009310506569,"10000 to 14999",1797.36390248669
"217","Kentucky",4424611,4436974,4,16951,1412.58333333333,382.039651347968,31.8366376123307,"10000 to 14999",2559.93324610909
"218","Louisiana",4668960,4681666,5,14627,1218.91666666667,312.431514764189,26.0359595636824,"10000 to 14999",2419.46857544293
"219","Maine",1329453,1331479,6,6210,517.5,466.398643914023,38.866553659502,"10000 to 14999",2501.68949184364
"220","Maryland",5994983,6016447,8,7083,590.25,117.727289877232,9.81060748976929,"10000 to 14999",1126.20759725257
"221","Massachusetts",6784240,6811779,6,5880,490,86.3210623832629,7.19342186527191,"10000 to 14999",1848.95580050234
"222","Michigan",9917715,9928300,4,26151,2179.25,263.398541200554,21.9498784333795,"10000 to 14999",1984.17812974057
"223","Minnesota",5482435,5519952,3,17391,1449.25,315.057087452934,26.2547572877445,"10000 to 14999",1566.64839619622
"224","Mississippi",2989390,2988726,1,11264,938.666666666667,376.882992954188,31.4069160795157,"10000 to 14999",2549.06850561486
"225","Missouri",6076204,6093000,5,26691,2224.25,438.060068931561,36.5050057442967,"10000 to 14999",2188.1108665871
"226","Montana",1032073,1042520,9,12987,1082.25,1245.73149675786,103.810958063155,"10000 to 14999",2250.71521103643
"227","Nebraska",1893765,1907116,5,8228,685.666666666667,431.436787274607,35.9530656062173,"10000 to 14999",1925.46546165971
"228","Nevada",2883758,2940058,9,7452,621,253.464387437255,21.1220322864379,"10000 to 14999",1662.24038216799
"229","New Hampshire",1330111,1334795,6,5961,496.75,446.585430721571,37.215452560131,"10000 to 14999",1323.11589032795
"230","New Jersey",8935421,8944469,8,3957,329.75,44.2396300998975,3.68663584165812,"10000 to 14999",1284.40135053513
"231","New Mexico",2080328,2081015,5,8291,690.916666666667,398.411352152675,33.200946012723,"10000 to 14999",2343.62119819567
"232","New York",19747183,19745289,6,19935,1661.25,100.960791204423,8.41339926703529,"10000 to 14999",1831.57617975182
"233","North Carolina",10035186,10146788,1,28769,2397.41666666667,283.528147035298,23.6273455862749,"10000 to 14999",2336.46336998637
"234","North Dakota",756835,757952,3,4952,412.666666666667,653.339525458077,54.4449604548397,"10000 to 14999",2070.95998467301
"235","Ohio",11605090,11614373,4,29632,2469.33333333333,255.132153926863,21.2610128272386,"10000 to 14999",2103.84163328333
"236","Oklahoma",3907414,3923561,5,18364,1530.33333333333,468.044207800006,39.0036839833339,"10000 to 14999",2138.47846683254
"237","Oregon",4024634,4093465,9,17350,1445.83333333333,423.846301360828,35.3205251134023,"10000 to 14999",1891.03021541835
